1217.3192,1751.731,1833.5908,1314.0048,1259.5056,939.33356,400.60764,367.63834,728.1358,665.4784
977.40204,1350.2866,936.0861,1287.6871,1207.2356,1031.2834,820.2889,545.00287,222.70163,615.65326
1474.8866,874.3456,737.57336,1261.1678,1294.403,1401.3271,1493.3378,899.02313,174.51678,337.38232
697.24677,670.91376,652.3132,725.174,1269.1743,1398.3243,1705.5931,1305.9598,679.6786,458.32532
1332.497,1194.0538,1093.4287,624.5946,727.806,855.3296,1196.5891,1041.472,545.38434,366.77066
1470.1204,1652.0546,1318.5685,706.08124,537.5751,616.91724,683.26984,1055.2999,528.41315,415.9237
976.309,1650.0375,1115.1714,1065.4054,503.14218,497.72552,585.2415,862.57886,437.5865,471.5398
1156.8115,1340.2283,1023.4853,1004.2349,836.0119,440.95157,543.44006,771.31287,503.03967,174.5005
1432.7041,947.04645,1047.9609,765.1738,1080.4797,471.74057,847.7078,907.4273,497.77362,150.31467
1040.8365,1070.6426,634.98566,1147.4502,752.0255,543.6859,577.148,841.98425,504.46347,340.43198
